date,hour,day_of_week,device,campaign_id,total_impressions,total_clicks,total_conversions,avg_cost_per_click,total_revenue
2024-11-01,0,4,MOBILE,1234,132,3,1,2.8983399596982955,64.92
2024-11-01,0,4,DESKTOP,1234,10,0,0,0.0,0.0
2024-11-01,0,4,DESKTOP,5678,70,0,0,0.0,0.0
2024-11-01,1,4,MOBILE,1234,84,2,0,3.0587416118943223,0.0
2024-11-01,1,4,DESKTOP,1234,199,2,2,2.364618013227317,103.91
2024-11-01,1,4,DESKTOP,5678,123,6,0,1.8339410087542813,0.0
2024-11-01,2,4,MOBILE,1234,129,3,1,1.7126487172898492,29.54
2024-11-01,2,4,DESKTOP,1234,0,0,0,0.0,0.0
2024-11-01,2,4,DESKTOP,5678,14,0,0,0.0,0.0
2024-11-01,3,4,MOBILE,1234,52,2,0,1.5922614727704318,0.0
2024-11-01,3,4,DESKTOP,1234,11,0,0,0.0,0.0
2024-11-01,3,4,DESKTOP,5678,111,1,0,2.724977417346103,0.0
2024-11-01,4,4,MOBILE,1234,153,3,0,2.2723266464284873,0.0
2024-11-01,4,4,DESKTOP,1234,185,5,0,2.0144261647400503,0.0
2024-11-01,4,4,DESKTOP,5678,88,3,0,2.428144545578002,0.0
2024-11-01,5,4,MOBILE,1234,164,1,0,2.3051454385470938,0.0
2024-11-01,5,4,DESKTOP,1234,130,1,1,3.120473877064549,66.03
2024-11-01,5,4,DESKTOP,5678,128,4,0,1.8332236044968842,0.0
2024-11-01,6,4,MOBILE,1234,81,0,0,0.0,0.0
2024-11-01,6,4,DESKTOP,1234,203,2,0,3.020277917103403,0.0
2024-11-01,6,4,DESKTOP,5678,158,9,0,2.048649536555816,0.0
2024-11-01,7,4,MOBILE,1234,203,4,0,2.7153049936231213,0.0
2024-11-01,7,4,DESKTOP,1234,200,5,0,2.5138710142417984,0.0
2024-11-01,7,4,DESKTOP,5678,80,3,1,2.1441654802715577,354.43
2024-11-01,8,4,MOBILE,1234,158,3,1,2.122202829615762,44.39
2024-11-01,8,4,DESKTOP,1234,18,0,0,0.0,0.0
2024-11-01,8,4,DESKTOP,5678,150,3,0,0.9845904616093947,0.0
2024-11-01,9,4,MOBILE,1234,221,6,0,2.2440085444745734,0.0
